"kode_produk","nama_produk","harga","stok","kategori","last_updated"
"PRD00364","dress pesta","80rb","231","pakian","09/12/2023 21:15"
"PRD00365","sarung tangan  bayi ","357rb","209","pakaian","1718515680"
"PRD00366","sweater rajut   ","","234","pakian","06 Oct 2024"
"PRD00367","topi sekolah","328000","58","pakaian","07 Dec 2025"
"PRD00368","  blouse wanita","$17.31","151","pakian","1697012400"
"PRD00369","KEMEJA  SEKOLAH","","247","clothes","13/06/2025 01:28"
"PRD00370"," topi sekolah",,"86","pakaian","14 Jun 2024"
"PRD00371","sarung tangan bayi",,"154","pakian","01/09/2025 00:46"
"PRD00372","jaket hoodie ","$18.94","291","pakian","22/01/2025 01:10"
"PRD00373","  BAJU ANAK PEREMPUAN","489000","126","PAKAIAN","2024/08/21"
"PRD00374"," celana jeans pria","285000","132","pakaian","29 Jun 2023"
"PRD00375","sepatu casual ","$13.75","37","PAKAIAN","2024/07/14"
"PRD00376","piyama anak","252000","","pakaian","20 Mar 2025"
"PRD00377","   blouse wanita","134rb","119","pakian","30/01/2025 20:11"
"PRD00378","  blouse wanita","$18.31","3","PAKAIAN","2024/05/01"
"PRD00379","topi sekolah   ","Rp363000,-","125","clothes","2023/12/04"
"PRD00380","   sarung tangan  bayi","Rp394000,-","275","pakaian","21/10/2025 04:56"
"PRD00381","KEMEJA SEKOLAH","","281","pakaian","09-04-2024"
"PRD00382","blouse wanita","107000","262","clothes","1693558620"
"PRD00383","   piyama anak","$23.50","260","pakian","1734711960"
"PRD00384","   BaJu Bayi ","Rp 270,000","103","pakian","17 Jan 2026"
"PRD00385","topi sekolah   ","60rb","248","PAKAIAN","06-02-2024"
"PRD00386","   sarung tangan bayi","Rp 232,000","40","pakaian","2024/12/12"
"PRD00387","  dress pesta","","40","pakaian","24/10/2024 13:37"
"PRD00388","  BaJu Bayi  ","267000","204","pakian","2025/12/09"
"PRD00389","baju anak laki-laki","113rb","231","pakian","2025/12/21"
"PRD00390"," jaket hoodie ","71000","218","pakaian","01-13-2023"
"PRD00391","  BAJU ANAK PEREMPUAN","408000","268","pakian","02-08-2023"
"PRD00392","KEMEJA SEKOLAH",,"209","pakaian","2025-02-03 19:17:00"
"PRD00393"," kaos olahraga","Rp 81,000","213","clothes","2026-02-21 18:41:00"
"PRD00394","  blouse wanita ","130rb","56","pakian","2023-12-28 20:29:00"
"PRD00395","   celana jeans pria","Rp347000,-","214","PAKAIAN","1748182200"
"PRD00396","  BAJU ANAK PEREMPUAN  ","427000","146","PAKAIAN","07 May 2024"
"PRD00397","piyama anak","$30.19","","PAKAIAN","2023-03-16 14:01:00"
"PRD00398","jaket hoodie","184000","263","PAKAIAN","05-16-2023"
"PRD00399","sarung tangan bayi ","","224","pakaian","2025-10-31 13:47:00"
"PRD00400","jaket  hoodie  ","","170","pakaian","04 Oct 2024"
"PRD00401","kaos olahraga","Rp 98,000","174","PAKAIAN","2025/07/26"
"PRD00402","   celana jeans  pria ","220000","73","clothes","06-05-2024"
"PRD00403","  topi sekolah ","Rp 382,000","289","clothes","15 Oct 2024"
"PRD00404","celana jeans pria","Rp 419,000","138","pakian","07-18-2023"
"PRD00405","blouse wanita","$21.56","63","clothes","13/02/2025 11:56"
"PRD00406","piyama anak ","Rp 443,000","70","clothes","03-04-2025"
"PRD00407","   sarung tangan bayi","108000","25","pakian","07-28-2023"
"PRD00408","baju anak laki-laki","357000","","clothes","28/06/2025 02:26"
"PRD00409","sepatu casual  ","189rb","104","PAKAIAN","1742997180"
"PRD00410","sweater rajut","","87","clothes","08-31-2023"
"PRD00411","baju anak laki-laki   ","Rp463000,-","235","clothes","2026-04-12 01:10:00"
"PRD00412","   sepatu casual",,"254","pakaian","04-07-2024"
"PRD00413","   sweater rajut ","412rb","32","pakian","1710915600"
"PRD00414","  jaket hoodie","Rp325000,-","207","PAKAIAN","1692087240"
"PRD00415","  celana jeans pria ","112rb","136","pakaian","2024-10-07 03:39:00"
"PRD00416","BAJU ANAK PEREMPUAN","32rb","","clothes","01/04/2025 05:48"
"PRD00417","kaos olahraga",,"60","clothes","05-03-2026"
"PRD00418","  BaJu Bayi","207000","","pakian","1716695700"
"PRD00419","topi sekolah ","280000","140","PAKAIAN","06 Oct 2024"
"PRD00420","dress pesta","164000","121","PAKAIAN","1729085100"
"PRD00421"," celana jeans pria","","142","pakian","2024-04-19 16:56:00"
"PRD00422","celana jeans pria   ","Rp 130,000","190","clothes","14/04/2023 09:46"
"PRD00423","baju anak laki-laki  ","480rb","122","clothes","09-05-2023"
"PRD00424"," baju anak laki-laki  ","$10.63","237","clothes","1737045780"
"PRD00425","BAJU ANAK PEREMPUAN",,"246","pakaian","2024/04/19"
"PRD00426","kaos olahraga ","480000","276","pakian","04 Jul 2025"
"PRD00427","  sweater rajut","71rb","281","pakian","2023/04/24"
"PRD00428"," jaket hoodie ","444000","197","pakian","03/09/2025 23:42"
"PRD00429","dress pesta ","492000","140","clothes","02 Nov 2023"
"PRD00430","BAJU ANAK PEREMPUAN","326000","18","PAKAIAN","2024/08/11"
"PRD00431","   sepatu casual","","234","pakaian","2023/09/29"
"PRD00432","BaJu Bayi   ","Rp305000,-","67","PAKAIAN","1716124680"
"PRD00433","  dress pesta   ","Rp 452,000","59","PAKAIAN","2026-01-29 23:25:00"
"PRD00434","   sweater rajut ","","48","clothes","04-10-2025"
"PRD00435","BAJU ANAK PEREMPUAN","","161","pakian","1712373300"
"PRD00436"," dress pesta","","171","PAKAIAN","31/10/2023 23:34"
"PRD00437"," rok anak  ","Rp28000,-","6","PAKAIAN","06-14-2024"
"PRD00438","kaos olahraga","Rp51000,-","208","pakaian","2025/07/28"
"PRD00439"," celana jeans  pria ","Rp340000,-","79","PAKAIAN","02-13-2025"
"PRD00440","   kaos olahraga ","143000","33","clothes","23 Jul 2025"
"PRD00441","jaket  hoodie  ","Rp349000,-","199","pakian","1760099640"
"PRD00442","blouse wanita ","114000","18","PAKAIAN","12/07/2024 11:48"
"PRD00443","   BaJu Bayi","312000","265","pakaian","2024-01-12 10:12:00"
"PRD00444","blouse wanita ","341000","114","pakaian","24 Jul 2024"
"PRD00445","  piyama anak ","369000","126","pakian","25 Jan 2025"
"PRD00446","KEMEJA SEKOLAH","","251","PAKAIAN","06/11/2024 02:22"
"PRD00447","celana jeans pria ","Rp373000,-","206","PAKAIAN","10 Sep 2024"
"PRD00448","baju anak  laki-laki",,"86","PAKAIAN","11 Mar 2024"
"PRD00449","sepatu casual","179000","282","pakian","13 Oct 2025"
"PRD00450","kaos olahraga","Rp150000,-","","clothes","24/02/2025 01:37"
"PRD00451","jaket hoodie",,"112","PAKAIAN","12-11-2024"
"PRD00452","piyama anak ","Rp 415,000","185","clothes","12-25-2024"
"PRD00453","KEMEJA SEKOLAH ","Rp371000,-","251","pakaian","22/09/2024 04:07"
"PRD00454","   sarung tangan bayi","Rp 410,000","280","pakaian","2025-01-24 20:41:00"
"PRD00455","topi sekolah ","$4.69","107","pakian","1700869380"
"PRD00456","  rok anak","Rp 134,000","165","clothes","2025/05/14"
"PRD00457","   sarung tangan bayi ","$8.44","86","pakaian","1704281280"
"PRD00458","  KEMEJA SEKOLAH",,"159","pakaian","2023/10/16"
"PRD00459","sepatu  casual   ","","140","clothes","1697734200"
"PRD00460"," dress pesta   ","103000","192","pakaian","03-25-2023"
"PRD00461","sarung tangan bayi","172rb","105","pakian","1676853900"
"PRD00462","rok anak","$13.75","92","clothes","2025/04/21"
"PRD00463","sepatu casual ","","52","PAKAIAN","29/08/2025 07:21"
"PRD00464","BaJu Bayi","294rb","291","PAKAIAN","1680954000"
"PRD00465","KEMEJA  SEKOLAH","336rb","200","pakaian","28 Mar 2025"
"PRD00466","sepatu casual","Rp410000,-","57","pakian","2024/01/24"
"PRD00467","BaJu Bayi","306rb","75","pakian","2025/03/26"
"PRD00468","  BAJU ANAK  PEREMPUAN","Rp 72,000","160","pakian","08 Apr 2023"
"PRD00469","  BaJu Bayi","Rp360000,-","70","pakaian","2023-09-16 11:30:00"
"PRD00470","dress pesta   ","193000","","PAKAIAN","1713552480"
"PRD00471","KEMEJA SEKOLAH",,"58","clothes","1773777600"
"PRD00472","BAJU  ANAK  PEREMPUAN","312000","185","clothes","01 May 2023"
"PRD00473","jaket hoodie   ","267rb","81","clothes","11 May 2025"
"PRD00474","celana jeans pria   ",,"155","PAKAIAN","2025/08/15"
"PRD00475"," celana jeans pria",,"248","PAKAIAN","2023/03/15"
"PRD00476","topi  sekolah ","Rp312000,-","78","clothes","1767217860"
"PRD00477"," kaos olahraga",,"264","pakian","06/04/2026 16:41"
"PRD00478","dress pesta   ","","4","pakaian","04/01/2024 05:51"
"PRD00479","sweater rajut","","126","clothes","1719984360"
"PRD00480","BaJu Bayi","448000","157","pakian","2024-08-22 14:49:00"
"PRD00481","   baju  anak laki-laki ","74000","102","pakaian","07/01/2024 06:00"
"PRD00482","   sweater rajut","Rp355000,-","237","PAKAIAN","09/11/2025 09:49"
"PRD00483","rok anak","Rp426000,-","252","PAKAIAN","04 Aug 2023"
"PRD00484","topi sekolah","409rb","297","pakaian","1717144920"
"PRD00485","celana jeans pria",,"84","pakian","01-20-2026"
"PRD00486","   celana jeans pria","298000","44","pakian","2023/06/11"
"PRD00487","sarung tangan bayi","","100","clothes","2023-11-28 18:42:00"
"PRD00488","piyama anak","Rp429000,-","71","pakian","2023/08/11"
"PRD00489","kaos olahraga","Rp 125,000","199","pakaian","1742511720"
"PRD00490","sweater rajut ","Rp 306,000","189","pakaian","22 Feb 2026"
"PRD00491","BaJu Bayi","411000","139","clothes","2025-09-26 18:12:00"
"PRD00492","  rok anak ","107000","16","PAKAIAN","1703328240"
"PRD00493","blouse wanita ","239rb","159","pakian","15 Sep 2023"
"PRD00494","baju anak laki-laki","388000","51","clothes","1735163100"
"PRD00495","blouse  wanita   ","Rp288000,-","164","pakian","2024-09-29 01:05:00"
"PRD00496"," sepatu  casual ","454000","89","pakian","29 Jun 2024"
"PRD00497","KEMEJA SEKOLAH","$27.13","296","pakian","12 Mar 2025"
"PRD00498","sarung tangan bayi","143rb","85","pakaian","16 Mar 2024"
"PRD00499","BAJU ANAK PEREMPUAN  ","Rp387000,-","235","pakian","2024-07-22 12:16:00"
"PRD00500","blouse wanita","Rp 34,000","105","pakaian","14 Jan 2024"
"PRD00501","sarung tangan bayi   ","414000","237","pakian","1687327500"
"PRD00502","celana jeans  pria ","91000","262","pakian","1703589120"
"PRD00503","blouse wanita  ","","37","clothes","2023-03-01 15:28:00"
"PRD00504","celana jeans pria ",,"235","pakaian","1727373120"
"PRD00505","jaket hoodie   ","Rp 68,000","42","PAKAIAN","2024/12/31"
"PRD00506"," blouse wanita","","32","clothes","2024/03/11"
"PRD00507","topi sekolah   ","$20.38","165","pakaian","2025/12/21"
"PRD00508","baju  anak laki-laki  ","311000","75","pakaian","2025/03/25"
"PRD00509","sweater rajut","122rb","207","pakian","14/02/2026 13:07"
"PRD00510","  blouse wanita","","172","PAKAIAN","2023/10/08"
"PRD00511"," KEMEJA SEKOLAH  ","","260","PAKAIAN","07/02/2024 15:51"
"PRD00512","BAJU ANAK PEREMPUAN   ","$3.19","159","PAKAIAN","1709134020"
"PRD00513"," piyama anak  ","","284","PAKAIAN","02 Jun 2025"
"PRD00514","  topi sekolah  ","$23.81","158","pakaian","08-12-2023"
"PRD00515"," sarung tangan bayi   ",,"208","pakian","30 Jul 2023"
"PRD00516"," sweater rajut  ",,"206","clothes","02 Mar 2025"
"PRD00517","   sarung tangan bayi",,"66","pakian","2025-08-16 11:43:00"
"PRD00518","kaos olahraga ",,"171","pakaian","2024-02-06 07:53:00"
"PRD00519","baju  anak laki-laki","Rp 289,000","126","pakaian","04-26-2026"
"PRD00520","kaos olahraga","225000","228","pakaian","12-20-2024"
"PRD00521","dress pesta","","5","pakaian","06-25-2024"
"PRD00522","BAJU ANAK PEREMPUAN","$27.06","55","clothes","27/05/2025 06:15"
"PRD00523","dress pesta","250000","14","PAKAIAN","2025-08-21 14:52:00"
"PRD00524","baju anak laki-laki","162000","92","pakian","2023-12-16 02:22:00"
"PRD00525","blouse wanita",,"229","pakaian","2025-03-31 09:42:00"
"PRD00526","sepatu casual","445000","160","clothes","1709547360"
"PRD00527","sweater rajut","Rp 477,000","212","pakian","2025/05/05"
"PRD00528","  blouse wanita","$26.94","25","pakaian","08-23-2024"
"PRD00529","dress pesta   ","Rp 32,000","4","clothes","2024/06/05"
"PRD00530","dress pesta   ","42000","","pakian","03/10/2025 00:35"
"PRD00531","   sweater rajut","Rp 63,000","269","PAKAIAN","1746573900"
"PRD00532","dress pesta","229000","269","pakaian","12 Jul 2025"
"PRD00533","piyama  anak   ",,"8","clothes","1731290700"
"PRD00534","  jaket hoodie","","215","pakaian","2026/04/13"
"PRD00535","   piyama anak  ","308rb","3","PAKAIAN","17 Dec 2025"
"PRD00536","BAJU ANAK PEREMPUAN",,"110","pakaian","07/02/2023 11:26"
"PRD00537","topi sekolah  ","Rp434000,-","187","pakian","18 Jul 2025"
"PRD00538","  celana jeans pria   ","216rb","150","clothes","04 Feb 2024"
"PRD00539","sweater rajut",,"231","PAKAIAN","2023/02/03"
"PRD00540","BaJu Bayi",,"238","clothes","25/04/2024 10:54"
"PRD00541","rok anak","","160","clothes","1749077940"
"PRD00542"," jaket hoodie   ","285rb","82","clothes","10-07-2025"
"PRD00543","   jaket hoodie","","140","pakaian","08/05/2025 23:49"
"PRD00544","BAJU ANAK PEREMPUAN","277000","160","PAKAIAN","11-07-2025"
"PRD00545","  dress pesta  ","382000","21","PAKAIAN","1691332200"
"PRD00546","celana jeans pria",,"262","PAKAIAN","1750527360"
"PRD00547","jaket hoodie  ","350rb","","PAKAIAN","2024-10-20 05:23:00"
"PRD00548","rok anak   ","$18.25","225","clothes","1761755160"
"PRD00549","   baju  anak  laki-laki","80rb","116","clothes","2023-10-08 01:27:00"
"PRD00550"," rok anak","Rp475000,-","89","PAKAIAN","30/08/2024 18:57"
"PRD00551","rok anak","$16.56","96","pakian","12/09/2024 02:34"
"PRD00552","sweater rajut","","128","pakian","05/07/2025 02:32"
"PRD00553","jaket hoodie","202000","98","pakian","20/05/2023 01:39"
"PRD00554","  BaJu Bayi  ","","69","pakaian","2023/03/26"
"PRD00555","sepatu casual","74rb","291","pakian","1737699120"
"PRD00556","sarung tangan bayi","104000","270","pakaian","10-16-2024"
"PRD00557","BAJU ANAK PEREMPUAN","","114","clothes","02-13-2025"
"PRD00558","BaJu Bayi","389000","121","clothes","1672873860"
"PRD00559","  sepatu casual","Rp242000,-","267","pakian","04-29-2025"
"PRD00560","rok anak","","32","pakian","12 Aug 2023"
"PRD00561"," jaket hoodie","Rp317000,-","224","clothes","1684374840"
"PRD00562","KEMEJA SEKOLAH","","269","pakaian","02/12/2025 10:31"
"PRD00563","baju anak laki-laki ","$29.13","248","clothes","1698221220"
"PRD00564","rok anak","73000","170","clothes","06 Nov 2024"
"PRD00565"," jaket hoodie","$16.75","209","clothes","29/05/2024 21:52"
"PRD00566","baju anak laki-laki   ","281000","","pakaian","03-14-2024"
"PRD00567","dress pesta ","$11.00","3","pakaian","1743964620"
"PRD00568","jaket hoodie",,"207","PAKAIAN","1756228800"
"PRD00569","kaos olahraga","$12.44","165","clothes","1718181120"
"PRD00570","blouse wanita","Rp 43,000","248","clothes","2023/11/26"
"PRD00571","jaket  hoodie  ","97000","93","pakian","17 Jul 2024"
"PRD00572","sarung  tangan bayi ","29000","6","clothes","09-21-2025"
"PRD00573","kaos olahraga","Rp 186,000","73","clothes","1724536500"
"PRD00574","sarung tangan bayi",,"214","pakian","2025-09-04 00:35:00"
"PRD00575","rok anak","430rb","81","pakian","25/10/2024 20:49"
"PRD00576","   sweater rajut","Rp53000,-","281","PAKAIAN","2023-10-19 13:22:00"
"PRD00577"," rok anak",,"129","pakian","2024-11-03 08:30:00"
"PRD00578","  BaJu Bayi","233rb","121","pakian","17 Jul 2024"
"PRD00579","celana jeans pria   ","$27.50","217","PAKAIAN","09-15-2024"
"PRD00580","baju anak laki-laki   ","54rb","89","PAKAIAN","1715179080"
"PRD00581","topi sekolah ","404000","18","clothes","1693092600"
"PRD00582","  sarung  tangan bayi   ","Rp 328,000","131","clothes","05 Aug 2025"
"PRD00583","  rok  anak","Rp 200,000","218","clothes","2025-11-28 04:42:00"
"PRD00584","BAJU ANAK PEREMPUAN","387rb","244","pakaian","2024/11/04"
"PRD00585","   KEMEJA SEKOLAH","","268","clothes","2025/05/10"
"PRD00586","   piyama  anak","","108","PAKAIAN","16/03/2026 19:32"
"PRD00587","  dress pesta ","","55","PAKAIAN","2023-03-06 21:53:00"
"PRD00588","  kaos olahraga",,"14","pakaian","1691626980"
"PRD00589","   piyama anak","$27.06","61","pakian","06 Jul 2023"
"PRD00590","BaJu Bayi","$5.06","91","PAKAIAN","1735928640"
"PRD00591","  topi sekolah  ","","171","PAKAIAN","03 Jan 2025"
"PRD00592"," baju  anak laki-laki  ","","210","pakaian","03-25-2026"
"PRD00593","jaket hoodie  ","Rp53000,-","281","pakaian","2023/10/25"
"PRD00594","sarung tangan  bayi    ","74000","157","pakian","2024-11-06 11:57:00"
"PRD00595","jaket  hoodie","80000","114","clothes","30 Mar 2023"
"PRD00596","dress pesta ","Rp456000,-","69","pakian","2023-11-28 20:48:00"
"PRD00597","KEMEJA SEKOLAH   ","149000","266","pakaian","29 Jan 2024"
"PRD00598","sarung tangan bayi","256000","283","pakian","27 Jan 2024"
"PRD00599","celana  jeans  pria  ","370rb","132","clothes","27/04/2024 23:07"
"PRD00600","BAJU ANAK PEREMPUAN","Rp 241,000","4","clothes","2026/01/30"
"PRD00601","BAJU ANAK PEREMPUAN","Rp 434,000","0","pakian","2024/04/30"
"PRD00602","  BAJU ANAK PEREMPUAN","Rp 176,000","214","pakian","05/03/2023 00:00"
"PRD00603","   sarung tangan bayi  ",,"108","PAKAIAN","03/08/2023 07:00"
"PRD00604","sepatu casual",,"290","PAKAIAN","08-21-2025"
"PRD00605","topi sekolah  ","","55","pakian","2023-09-12 07:37:00"
"PRD00606","jaket hoodie ","Rp387000,-","55","pakaian","2025-09-26 21:10:00"
"PRD00607","KEMEJA SEKOLAH   ","$7.56","125","clothes","22/10/2024 00:26"
"PRD00608"," kaos olahraga","485rb","33","clothes","2023/08/24"
"PRD00609"," blouse wanita","241000","232","clothes","13 Feb 2026"
"PRD00610","jaket hoodie",,"165","clothes","29/06/2024 11:57"
"PRD00611"," topi sekolah","51000","8","PAKAIAN","02-02-2025"
"PRD00612","sweater rajut   ","Rp 406,000","7","PAKAIAN","03-28-2024"
"PRD00613","topi  sekolah   ","","56","pakian","2024/10/03"
"PRD00614","BAJU ANAK PEREMPUAN","","144","PAKAIAN","1684858320"
"PRD00615","dress pesta ","Rp 143,000","81","pakian","04-11-2026"
"PRD00616","sweater rajut","Rp357000,-","78","clothes","06-04-2025"
"PRD00617","sweater rajut  ","$22.00","","pakian","2025-04-26 23:11:00"
"PRD00618"," blouse wanita   ","$5.06","285","clothes","2025-08-05 10:37:00"
"PRD00619","BaJu Bayi   ","Rp 32,000","142","PAKAIAN","18 Mar 2024"
"PRD00620","kaos olahraga","171000","185","pakian","04 Jul 2025"
"PRD00621","jaket hoodie","","291","PAKAIAN","12/11/2025 12:59"
"PRD00622","KEMEJA SEKOLAH","372000","21","PAKAIAN","22 Sep 2025"
"PRD00623","blouse wanita","$13.50","182","pakian","01-30-2023"
"PRD00624"," topi sekolah ","Rp151000,-","183","PAKAIAN","09/01/2023 08:05"
"PRD00625","rok anak","300000","144","clothes","19 Jun 2023"
"PRD00626","   topi sekolah  ","126000","98","pakaian","2026/04/08"
"PRD00627","jaket  hoodie","$16.25","","PAKAIAN","11-06-2025"
"PRD00628","jaket hoodie","Rp 146,000","235","PAKAIAN","2023-10-18 23:45:00"
"PRD00629","jaket hoodie  ",,"3","pakaian","08 Nov 2025"
"PRD00630","baju anak laki-laki",,"190","clothes","2026-01-24 08:49:00"
"PRD00631"," sarung tangan bayi","$6.00","62","pakaian","02 Feb 2025"
"PRD00632","BaJu Bayi","192000","214","pakaian","2026/03/19"
"PRD00633","baju anak laki-laki","Rp427000,-","","pakian","2023/06/01"
"PRD00634","BaJu Bayi","$23.25","249","PAKAIAN","2025/09/14"
"PRD00635","dress pesta","343000","199","pakian","2024-08-10 10:08:00"
"PRD00636","topi sekolah","Rp287000,-","26","pakian","04 Jun 2025"
"PRD00637"," piyama anak  ",,"251","pakaian","2025-11-08 16:49:00"
"PRD00638"," celana jeans pria","Rp440000,-","260","pakaian","11 Apr 2025"
"PRD00639","topi sekolah",,"72","clothes","2023/07/12"
"PRD00640","BaJu Bayi","$23.50","31","PAKAIAN","1697963940"
"PRD00641","sweater rajut","Rp361000,-","23","PAKAIAN","2024/06/13"
"PRD00642","dress pesta  ","144rb","145","clothes","19/03/2024 04:53"
"PRD00643","  KEMEJA SEKOLAH ","","159","PAKAIAN","04 Feb 2024"
"PRD00644","baju anak laki-laki  ","121000","171","pakian","2025/04/17"
"PRD00645"," sepatu casual","248000","195","pakian","12-02-2024"
"PRD00646"," jaket hoodie  ","Rp398000,-","91","clothes","1676760660"
"PRD00647","   topi  sekolah","","113","clothes","2025/10/21"
"PRD00648","rok anak   ","Rp 97,000","70","PAKAIAN","12-15-2024"
"PRD00649","  sarung tangan  bayi  ",,"232","pakaian","2023-01-25 11:09:00"
"PRD00650","sepatu casual   ","299000","184","pakian","08-05-2023"
"PRD00651","sweater rajut","","162","pakaian","2024-07-30 05:41:00"
"PRD00652"," sepatu casual","","144","pakian","03 Jan 2023"
"PRD00653","sarung tangan bayi",,"15","PAKAIAN","06-28-2025"
"PRD00654","dress pesta ","","137","pakaian","08-22-2025"
"PRD00655","jaket hoodie","175000","39","PAKAIAN","2023-05-24 06:50:00"
"PRD00656"," piyama anak","","12","PAKAIAN","30 Nov 2024"
"PRD00657","sweater rajut","Rp93000,-","124","PAKAIAN","12/08/2025 13:27"
"PRD00658","rok anak","262000","294","pakian","30/10/2023 22:58"
"PRD00659","  rok anak","","52","pakaian","22 Jan 2024"
"PRD00660"," sepatu casual ",,"143","pakian","2025-08-24 17:37:00"
"PRD00661","  celana jeans  pria   ","","19","pakaian","10/05/2023 09:40"
"PRD00662","dress pesta","175rb","274","pakian","1733319960"
"PRD00663","baju anak laki-laki ","","292","pakian","1765963080"
"PRD00664","piyama anak   ","$27.50","164","clothes","02 Feb 2023"
"PRD00665","  BAJU ANAK PEREMPUAN  ","132000","209","pakian","18 Aug 2025"
"PRD00666","  celana jeans pria","118000","296","PAKAIAN","30 Nov 2024"
"PRD00667","  BAJU ANAK PEREMPUAN  ","Rp213000,-","293","pakian","1776442200"
"PRD00668","KEMEJA SEKOLAH",,"209","clothes","11 Apr 2024"
"PRD00669","BaJu Bayi","$15.38","110","clothes","2023/05/07"
"PRD00670","BAJU ANAK PEREMPUAN  ","416000","201","pakaian","2025-05-08 19:09:00"
"PRD00671","baju anak laki-laki  ",,"280","clothes","2024-08-07 10:30:00"
"PRD00672"," sweater rajut ","","95","PAKAIAN","2025/12/09"
"PRD00673","blouse  wanita ","Rp 489,000","238","pakian","15/09/2025 05:22"
"PRD00674","BaJu Bayi","Rp 490,000","270","clothes","01 Jun 2023"
"PRD00675","BaJu Bayi","473rb","128","clothes","1772801580"
"PRD00676","   BAJU  ANAK PEREMPUAN","Rp 499,000","20","clothes","26 May 2024"
"PRD00677"," blouse  wanita ",,"287","pakian","1767171660"
"PRD00678","  sarung tangan bayi",,"259","PAKAIAN","1754204760"
"PRD00679"," sweater rajut ","479000","256","pakaian","25 Apr 2024"
"PRD00680","kaos olahraga ","463000","196","pakian","2024/07/26"
"PRD00681","  piyama anak","147000","169","PAKAIAN","2025-01-06 06:00:00"
"PRD00682","sarung tangan bayi","277000","224","clothes","2025/07/18"
"PRD00683","BaJu  Bayi ","64rb","117","pakian","1761548580"
"PRD00684","blouse wanita","351000","290","clothes","2024-05-28 16:04:00"
"PRD00685","  topi sekolah","Rp 64,000","106","clothes","2025-12-12 17:55:00"
"PRD00686","piyama anak  ","147000","113","PAKAIAN","12-13-2024"
"PRD00687","kaos olahraga   ","Rp 156,000","179","pakaian","2025-09-18 20:13:00"
"PRD00688","KEMEJA SEKOLAH ","$25.38","257","pakaian","1689765420"
"PRD00689","   sepatu casual ","144000","104","pakian","25/10/2023 19:56"
"PRD00690","dress pesta   ","Rp351000,-","30","PAKAIAN","07-25-2025"
"PRD00691","baju anak laki-laki","Rp 266,000","56","pakian","1696097580"
"PRD00692","BAJU ANAK PEREMPUAN","Rp 403,000","293","pakaian","08 Feb 2026"
"PRD00693","dress pesta","40000","7","PAKAIAN","31 Oct 2023"
"PRD00694","celana jeans pria",,"61","PAKAIAN","03-25-2023"
"PRD00695","jaket  hoodie","252000","156","pakian","1737417000"
"PRD00696","celana jeans pria ","392000","186","pakaian","07-07-2025"
"PRD00697","sepatu casual  ","Rp344000,-","155","clothes","24 Jun 2024"
"PRD00698","BAJU ANAK PEREMPUAN ","","96","PAKAIAN","2024-01-31 01:40:00"
"PRD00699","sarung tangan bayi","458000","133","pakaian","23/03/2026 03:18"
"PRD00700","  blouse wanita ",,"8","clothes","2025/09/19"
"PRD00701"," BaJu Bayi",,"41","PAKAIAN","10 Jan 2024"
"PRD00702","sepatu casual","203rb","87","pakian","2023-02-14 03:36:00"
"PRD00703","piyama anak","$22.75","260","pakaian","1735691160"
"PRD00704","BAJU ANAK PEREMPUAN","Rp 327,000","191","pakian","07 Apr 2023"
"PRD00705","jaket hoodie ","239000","71","pakian","2024/09/11"
"PRD00706","kaos olahraga","Rp404000,-","168","clothes","2026/01/01"
"PRD00707","sweater rajut","$20.44","63","PAKAIAN","19 Jun 2024"
"PRD00708","BAJU ANAK PEREMPUAN   ","59rb","197","clothes","25 Aug 2024"
"PRD00709","  rok anak","399rb","120","pakaian","1720935720"
"PRD00710","  sepatu casual","","240","pakaian","2023/05/29"
"PRD00711","   kaos olahraga","26rb","145","clothes","03-09-2025"
"PRD00712","   blouse wanita  ","","180","pakaian","01 May 2023"
"PRD00713","BaJu Bayi","","293","clothes","2024-05-25 12:09:00"
"PRD00714","celana jeans pria   ","","219","pakaian","1777700460"
"PRD00715","sweater rajut ","$21.81","220","clothes","1673629920"
"PRD00716","sweater  rajut ","Rp484000,-","192","pakaian","20 Jan 2025"
"PRD00717","rok anak ","$22.00","288","pakaian","31 Jan 2024"
"PRD00718","BAJU  ANAK PEREMPUAN ","Rp225000,-","162","pakian","12 Jun 2024"
"PRD00719"," KEMEJA SEKOLAH","Rp 197,000","234","PAKAIAN","16 Mar 2023"
"PRD00720","topi sekolah","478000","191","pakaian","17/07/2024 16:32"
"PRD00721","sweater rajut","","125","pakian","2025-08-24 01:18:00"
"PRD00722","piyama anak","279000","202","clothes","10-10-2024"
"PRD00723","  BAJU ANAK PEREMPUAN","Rp327000,-","145","pakian","2025-11-21 06:59:00"
"PRD00724"," rok anak","202000","169","pakian","2023-06-06 06:06:00"
"PRD00725","sepatu casual ",,"117","pakian","11/06/2023 02:50"
"PRD00726","  topi sekolah   ","414000","244","pakian","09/02/2025 10:11"
"PRD00727","sweater rajut","Rp 460,000","","PAKAIAN","1737058860"
"PRD00728","kaos olahraga ","$14.00","","PAKAIAN","11-21-2023"
"PRD00729","rok  anak   ","167000","3","pakaian","2025/11/19"
"PRD00730","sweater  rajut","89rb","17","pakaian","2023-11-16 05:03:00"
"PRD00731","blouse wanita","199000","98","clothes","2023-10-09 20:08:00"
"PRD00732","kaos olahraga ","Rp65000,-","32","clothes","07-27-2025"
"PRD00733","   BaJu Bayi ","","251","pakian","02/05/2026 21:58"
"PRD00734","blouse wanita   ","449rb","159","pakaian","11-08-2025"
